CompoundId	X.RESPONDER_AvgIntenCh2	X.RESPONDER_AvgIntenCh2.1	X.RESPONDER_AvgIntenCh2.2	X.RESPONDER_AvgIntenCh2 log	X.RESPONDER_AvgIntenCh2.1 log	X.RESPONDER_AvgIntenCh2.2 log	up_down
GK	0.616682895	1.750972763	0.715447154	-0.6973992642044944	0.808156642314904	-0.4830828876528097	
GCKR	0.288428911	0.154631205	0.176366843	-1.7937123128819805	-2.693096606440019	-2.5033487354416164	
CHKA	0.308060928	0.069252078	0.095365249	-1.6987123808813518	-3.851998827994614	-3.390392544391375	
GCK	0.159286397	0.134188162	0.326180258	-2.650305028392002	-2.897670691435741	-1.616258629046652	
CHUK	0.026021337000000002	0.10806916400000001	0.01950078	-5.264161098829127	-3.2099731656217916	-5.680324359152329	D
GALK2	0.16423058	0.291460216	0.417117256	-2.6062053106053242	-1.7786291243143737	-1.261475097619067	
CKB	0.018800526	0.092850511	0.096805421	-5.733083163670973	-3.4289463397633315	-3.368768350634019	
GALK1	0.253244698	0.122324159	0.0	-1.9813960302012403	-3.031218730863192	-100000.0	
CKM	1.875706215	0.061919505	0.049127977999999996	0.9074338815029279	-4.013462251511066	-4.347311327632735	
GAK	0.334706488	0.259862981	0.182648402	-1.5790315781781126	-1.9441769667779674	-2.452858963343251	
CKMT1B	0.10451505	0.0	0.0	-3.25821739184433	-100000.0	-100000.0	D
FYN	0.10810810800000001	1.443590146	0.050479555999999995	-3.2094533670716445	0.529661200491415	-4.308156968824612	
CKMT2	0.110305704	1.457331731	0.12743491699999998	-3.1804206990646677	0.5433293140492117	-2.9721674665802174	
FRK	0.202168719	0.142500891	0.0	-2.306368304544217	-2.810957154997613	-100000.0	
CLK1	0.049164208	0.40572792399999996	0.0	-4.346247787470985	-1.301415496237765	-100000.0	
FLT4	0.060277275	1.2447405329999999	0.08550662699999999	-4.052241992362026	0.31584504288266013	-3.5478199525886516	
CLK2	0.330422469	1.40328152	0.354358611	-1.5976163003433992	0.48880446495599256	-1.496717987586045	
BMPR2	0.032663727000000004	0.10675613800000001	0.032546786	-4.9361667749422775	-3.227609074150851	-4.941341105701704	D
CLK3	0.0	0.0	0.0	-100000.0	-100000.0	-100000.0	D
PLK3	0.019215988	0.0	0.0645682	-5.701549034552444	-100000.0	-3.9530323808599768	D
TK1	0.14402304400000002	0.032878514	0.17290160300000001	-2.795628430409309	-4.926711094321959	-2.5319768503754725	
TIE1	0.40179261299999997	0.17894422899999998	0.303582271	-1.3154770546743788	-2.482418077689836	-1.719840554091891	
CAMK2A	0.02019794	1.079321569	0.071826181	-5.629648030626103	0.11012475999234042	-3.799346380348486	
